;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International Migrant Stock 2020: Destination and origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Table 3: International migrant stock at mid-year, both sexes combined, by region of destination and origin, 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;POP/DB/MIG/Stock/Rev.2020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International migrant stock at mid-year by major area or region of origin, 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Region, development group of destination;;;WORLD;  Sub-Saharan Africa;  Northern Africa and Western Asia;  Central and Southern Asia;  Eastern and South-Eastern Asia;  Latin America and the Caribbean;  Oceania (excluding Australia and New Zealand);  Australia and New Zealand;  Europe and Northern America;  Developed regions;  Less developed regions; Less developed regions, excluding least developed countries; Less developed regions, excluding China;  Least developed countries;  Land-locked Developing Countries (LLDC);  Small island developing States (SIDS);  High-income countries;  Middle-income countries; Upper-middle-income countries; Lower-middle-income countries;  Low-income countries; AFRICA;  Eastern Africa;  Middle Africa;  Northern Africa;  Southern Africa;  Western Africa; ASIA;  Central Asia;  Eastern Asia;  South-Eastern Asia;  Southern Asia;  Western Asia; EUROPE;  Eastern Europe;  Northern Europe;  Southern Europe;  Western Europe; LATIN AMERICA AND THE CARIBBEAN;  Caribbean;  Central America;  South America; NORTHERN AMERICA; OCEANIA ;  Australia and New Zealand;  Melanesia;  Micronesia;  Polynesia*;OTHER
Index;;Notes of destination;Location code of destination;900;947;1833;921;1832;1830;1835;927;1829;901;902;934;948;941;1636;1637;1503;1517;1502;1501;1500;903;910;911;912;913;914;935;5500;906;920;5501;922;908;923;924;925;926;904;915;916;931;905;909;927;928;954;957;2003
1;WORLD;;900;247 958 644;24 197 211;32 606 047;46 481 130;35 205 590;36 206 000; 495 220;1 256 202;60 592 402;62 613 012;174 426 790;132 944 110;163 095 388;41 482 680;31 336 289;10 467 162;47 356 719;157 981 964;77 576 140;80 405 824;31 399 947;35 111 959;9 824 290;3 816 990;10 914 748;1 129 951;9 425 980;103 378 019;7 428 032;14 417 725;20 787 865;39 053 098;21 691 299;56 577 753;28 822 615;7 315 147;12 045 253;8 394 738;36 206 000;8 135 307;16 291 222;11 779 471;4 014 649;1 751 422;1 256 202; 229 769; 41 950; 223 501;10 918 842
2;  Sub-Saharan Africa;;947;20 721 874;16 017 580;1 145 027; 144 452; 48 065; 28 430; 1 978; 9 434; 478 832; 491 242;17 382 556;3 799 692;17 352 540;13 582 864;7 665 701; 215 518; 535 733;5 621 984; 386 768;5 235 216;11 679 184;17 119 491;5 984 906;2 762 381;1 101 911; 413 393;6 856 900; 235 633; 1 869; 39 098; 8 967; 142 583; 43 116; 452 197; 31 749; 105 281; 76 360; 238 807; 28 430; 13 068;  989; 14 373; 26 635; 11 412; 9 434;  136;  85; 1 757;2 848 076
3;  Northern Africa and Western Asia;;1833;42 036 092;1 411 666;16 701 758;16 003 389;3 666 905; 69 539;  2; 10 752;2 299 628;2 314 255;37 849 384;30 609 221;37 822 206;7 240 163;2 319 668; 22 011;1 627 091;29 098 477;5 258 274;23 840 203;9 281 367;5 170 960;1 221 849; 108 165;3 759 294; 17 885; 63 767;32 612 758; 93 181; 32 957;3 633 948;15 910 208;12 942 464;2 139 019;1 154 736; 171 832; 272 310; 540 141; 69 539;  268; 3 794; 65 477; 160 609; 10 754; 10 752;  2;..;..;1 872 453
4;  Central and Southern Asia;;921;19 266 265; 59 931; 346 590;12 064 784;1 280 110; 14 978;  833; 4 934;4 462 475;4 484 168;13 750 467;5 368 114;13 451 127;8 382 353;5 980 283; 52 641; 391 207;13 324 074;4 765 935;8 558 139;4 519 354; 60 267; 58 683;..;  336;  260;  988;13 691 148; 488 831; 412 416; 867 694;11 575 953; 346 254;4 375 287;4 279 027; 72 558; 5 787; 17 915; 14 978;  59;..; 14 919; 87 188; 5 767; 4 934;  833;..;..;1 031 630
5;  Eastern and South-Eastern Asia;;1832;18 027 810; 10 449; 27 424;1 880 946;14 290 497; 293 779; 1 102; 75 917; 458 535; 632 709;16 405 940;11 503 421;11 245 712;4 902 519;1 589 439; 151 205;1 793 861;15 231 006;8 168 153;7 062 853; 13 782; 15 761; 1 700;  653; 5 312; 2 025; 6 071;16 193 555; 45 633;5 939 342;8 351 155;1 835 313; 22 112; 189 108; 18 774; 105 602; 14 424; 50 308; 293 779;  143; 2 359; 291 277; 269 427; 77 019; 75 917;  60; 1 042;..; 989 161
6;  Latin America and the Caribbean;;1830;9 441 503; 30 799; 73 550; 19 851; 257 140;6 166 726;  172; 4 551;2 473 848;2 554 631;6 472 006;5 844 693;6 336 453; 627 313;1 284 210;1 090 305;3 147 187;5 207 201;4 125 774;1 081 427; 636 121; 39 533; 4 029; 10 862; 8 734; 2 903; 13 005; 341 807;  147; 243 598; 13 542; 19 704; 64 816;1 291 715; 52 879; 57 581; 855 748; 325 507;6 166 726; 993 471; 691 735;4 481 520;1 182 133; 4 723; 4 551;  14;  133;  25; 414 866
7;  Oceania (excluding Australia and New Zealand);;1835; 302 810;  66; 2 440; 5 849; 80 083; 4 861; 67 700; 21 043; 97 412; 121 702; 157 752; 146 871; 149 316; 10 881;  715; 61 289; 142 778; 125 249; 48 290; 76 959;..; 2 506;  66;..; 2 440;..;..; 85 932;..; 16 335; 63 748; 5 849;..; 71 230;  26; 2 356;  598; 68 250; 4 861; 4 861;..;..; 26 182; 88 743; 21 043; 12 281; 21 672; 33 747; 23 356
8;  Australia and New Zealand;;927;7 769 466; 430 302; 376 683; 937 913;1 904 449; 159 787; 283 916; 640 591;2 904 774;3 603 595;4 034 820;3 681 497;3 328 184; 353 323; 271 549; 398 564;3 874 747;3 587 529;1 952 793;1 634 736; 146 834; 503 256; 161 525; 7 040; 72 954; 237 076; 24 661;3 146 091; 4 510; 901 056;1 003 393; 933 403; 303 729;2 714 704; 176 977;1 622 399; 596 652; 318 676; 159 787; 6 069; 19 290; 134 428; 190 070; 924 507; 640 591; 134 054; 3 083; 146 779; 131 051
9;  Europe and Northern America;;1829;130 392 824;6 236 418;13 932 575;15 423 946;13 678 341;29 467 900; 139 517; 488 980;47 416 898;48 410 710;78 373 865;71 990 601;73 409 850;6 383 264;12 224 724;8 475 629;35 844 115;85 786 444;52 870 153;32 916 291;5 123 305;12 200 185;2 391 532; 927 889;5 963 767; 456 409;2 460 588;37 071 095;6 793 861;6 832 923;6 845 418;8 630 085;7 968 808;45 344 493;23 108 447;5 177 538;10 223 374;6 835 134;29 467 900;7 117 368;15 573 055;6 777 477;2 072 405; 628 497; 488 980; 82 389; 15 935; 41 193;3 608 249
10;  Developed regions;;901;140 394 479;6 671 363;14 311 005;16 429 157;17 227 537;29 853 910; 423 433;1 142 566;50 440 550;52 146 178;84 353 343;77 602 538;77 968 122;6 750 805;12 496 273;8 876 637;40 302 859;90 866 507;55 866 217;35 000 290;5 270 139;12 709 831;2 553 057; 934 929;6 038 468; 693 485;2 489 892;41 929 231;6 798 371;8 906 321;8 321 216;9 630 786;8 272 537;48 116 266;23 295 169;6 820 416;10 826 524;7 174 157;29 853 910;7 123 437;15 594 486;7 135 987;2 324 284;1 565 999;1 142 566; 216 443; 19 018; 187 972;3 894 958
11;  Less developed regions;;902;107 564 165;17 525 848;18 295 042;30 051 973;17 978 053;6 352 090; 71 787; 113 636;10 151 852;10 466 834;90 073 447;55 341 572;85 127 266;34 731 875;18 840 016;1 590 525;7 053 860;67 115 457;21 709 923;45 405 534;26 129 808;22 402 128;7 271 233;2 882 061;4 876 280; 436 466;6 936 088;61 448 788; 629 661;5 511 404;12 466 649;29 422 312;13 418 762;8 461 487;5 527 446; 494 731;1 218 729;1 220 581;6 352 090;1 011 870; 696 736;4 643 484;1 690 365; 185 423; 113 636; 13 326; 22 932; 35 529;7 023 884
12; Less developed regions, excluding least developed countries;;934;94 124 050;9 077 407;17 100 040;29 109 190;16 863 043;6 311 803; 65 864; 110 919;9 970 201;10 267 259;78 341 208;51 925 772;73 638 297;26 415 436;15 194 648;1 427 625;6 778 184;62 616 868;20 937 683;41 679 185;19 002 051;12 831 061;3 321 724;1 054 558;3 753 654; 384 132;4 316 993;59 318 619; 612 047;5 248 982;11 614 061;28 497 143;13 346 386;8 337 143;5 526 432; 441 002;1 198 894;1 170 815;6 311 803; 997 705; 695 766;4 618 332;1 633 058; 176 783; 110 919; 11 307; 21 090; 33 467;5 515 583
13; Less developed regions, excluding China;;948;103 368 940;17 525 848;18 295 042;29 999 553;14 194 529;6 289 522; 71 787; 98 563;10 062 583;10 343 429;86 193 998;51 474 774;84 140 102;34 719 224;18 830 674;1 580 638;6 482 400;63 684 063;18 841 010;44 843 053;26 129 808;22 402 128;7 271 233;2 882 061;4 876 280; 436 466;6 936 088;57 612 844; 629 661;2 462 074;11 732 455;29 369 892;13 418 762;8 425 390;5 525 246; 469 862;1 215 617;1 214 665;6 289 522;1 011 870; 696 736;4 580 916;1 637 193; 170 350; 98 563; 13 326; 22 932; 35 529;6 831 513
