;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International Migrant Stock 2020: Destination and origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Table 7: International migrant stock at mid-year, both sexes combined, by region of destination and origin, 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;POP/DB/MIG/Stock/Rev.2020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;International migrant stock at mid-year by major area or region of origin, 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Region, development group of destination;;;WORLD;  Sub-Saharan Africa;  Northern Africa and Western Asia;  Central and Southern Asia;  Eastern and South-Eastern Asia;  Latin America and the Caribbean;  Oceania (excluding Australia and New Zealand);  Australia and New Zealand;  Europe and Northern America;  Developed regions;  Less developed regions; Less developed regions, excluding least developed countries; Less developed regions, excluding China;  Least developed countries;  Land-locked Developing Countries (LLDC);  Small island developing States (SIDS);  High-income countries;  Middle-income countries; Upper-middle-income countries; Lower-middle-income countries;  Low-income countries; AFRICA;  Eastern Africa;  Middle Africa;  Northern Africa;  Southern Africa;  Western Africa; ASIA;  Central Asia;  Eastern Asia;  South-Eastern Asia;  Southern Asia;  Western Asia; EUROPE;  Eastern Europe;  Northern Europe;  Southern Europe;  Western Europe; LATIN AMERICA AND THE CARIBBEAN;  Caribbean;  Central America;  South America; NORTHERN AMERICA; OCEANIA ;  Australia and New Zealand;  Melanesia;  Micronesia;  Polynesia*;OTHER
Index;;Notes of destination;Location code of destination;900;947;1833;921;1832;1830;1835;927;1829;901;902;934;948;941;1636;1637;1503;1517;1502;1501;1500;903;910;911;912;913;914;935;5500;906;920;5501;922;908;923;924;925;926;904;915;916;931;905;909;927;928;954;957;2003
