Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
WORLD,900,280598105,42890481,67601621,69815370,198125584,150520987,177395834,87648518,89747316,37419672,40567163,114911484,63273663,9078772,16198974,17612735,4327958,2020
  Sub-Saharan Africa,947,22221538,30679,527437,541895,19257181,4090210,6021306,412419,5608887,13147474,18993545,234293,497863,13685,1051,15943,29574,2020
  Northern Africa and Western Asia,1833,49767746,68381,2772902,2790395,44942830,35578068,33927565,6258527,27669038,11754346,6567141,38312471,2600363,329,3939,64113,172539,2020
  Central and Southern Asia,921,19427576,14684,4590984,4612050,13771372,4974131,13517912,4856366,8661546,4485915,56405,13715893,4507238,56,0,14628,83746,2020
  Eastern and South-Eastern Asia,1832,19591106,333438,518524,710241,17690334,12501179,16468832,8696270,7772562,18199,20577,17442736,212621,145,2962,330331,305903,2020
  Latin America and the Caribbean,1830,14794623,11297173,2648939,2739482,11663420,10763261,10099478,8799078,1300400,905926,48791,402369,1355886,1335731,827876,9133566,1293053,2020
  Oceania (excluding Australia and New Zealand),1835,313069,5094,101312,126045,162851,151564,128897,48703,80194,0,2600,88735,74042,5094,0,0,27270,2020
  Australia and New Zealand,927,9067584,209475,3136402,3902982,5006295,4564617,4470771,2399850,2070921,185156,585073,3961776,2909353,6593,22048,180834,227049,2020
  Europe and Northern America,1829,145414863,30931557,53305121,54392280,85631301,77897957,92761073,56177305,36583768,6922656,14293031,40753211,51116297,7717139,15341098,7873320,2188824,2020
  Developed regions,901,157253443,31401278,56578680,58447543,92975532,84780609,99119662,59748598,39371064,7107812,14885507,46785274,54093598,7723732,15365881,8311665,2485082,2020
  Less developed regions,902,123344662,11489203,11022941,11367827,105150052,65740378,78276172,27899920,50376252,30311860,25681656,68126210,9180065,1355040,833093,9301070,1842876,2020
" Less developed regions, excluding least developed countries",934,107159937,11448272,10839685,11166659,90655513,62366486,73110566,27125684,45984882,21093242,13831063,65514256,9053571,1340417,832125,9275730,1786114,2020
" Less developed regions, excluding China",948,118939005,11421146,10928287,11237195,101082228,61685872,74691542,24895061,49796481,30311860,25681656,64106348,9141989,1355040,833093,9233013,1786298,2020
  Least developed countries,941,16184725,40931,183256,201168,14494539,3373892,5165606,774236,4391370,9218618,11850593,2611954,126494,14623,968,25340,56762,2020
  Land-locked Developing Countries (LLDC),1636,15022720,280364,4788228,4795579,9389885,3435514,8240771,5061205,3179566,5740288,7199642,1914619,4769118,5890,14312,260162,19110,2020
  Small island developing States (SIDS),1637,5678001,1157533,582238,623316,4590872,3682792,3707850,2336183,1371667,642263,168400,3200838,276585,868835,64703,223995,305653,2020
  High-income countries,1503,181897756,33714977,47333917,49284055,125081808,109144784,117946103,59946932,57999171,10493994,18928986,72537027,44341619,8323845,15426093,9965039,2992298,2020
  Middle-income countries,1517,85895533,9015116,19731350,19989655,61373678,38673953,55810379,27051049,28759330,18737963,11198245,41307367,18406391,669410,771913,7573793,1324959,2020
 Upper-middle-income countries,1502,57383443,8774782,14177798,14374719,40962838,31198486,38866884,20596985,18269899,10811121,2895521,29409476,13039726,663344,671416,7440022,1138072,2020
 Lower-middle-income countries,1501,28512090,240334,5553552,5614936,20410840,7475467,16943495,6454064,10489431,7926842,8302724,11897891,5366665,6066,100497,133771,186887,2020
  Low-income countries,1500,12232043,28692,298517,300233,11398965,2589406,3474543,579030,2895513,8121431,10306328,1063461,289706,14616,968,13108,8811,2020
 AFRICA,903,25389464,32524,702018,720067,22154154,5357102,6901516,649240,6252276,14942739,20917565,1207631,648455,13714,2089,16721,53563,2020
