Pais,Año,PIB per cápita (usd),Población debajo del umbral de pobreza internacional,Tasa de empleo,Mortalidad infantil por cada 1000 nacimientos
EEUU,1990,"23,889",0.50,62.8,
EEUU,1991,"24,342",0.50,61.7,
EEUU,1992,"25,419",0.50,61.5,
EEUU,1993,"26,387",0.50,61.7,
EEUU,1994,"27,695",0.50,62.5,
EEUU,1995,"28,691",0.50,62.9,
EEUU,1996,"29,968",0.70,63.2,
EEUU,1997,"31,459",0.70,63.8,
EEUU,1998,"32,854",0.70,64.1,
EEUU,1999,"34,515",0.70,64.3,
EEUU,2000,"36,330",0.70,64.4,7.1
EEUU,2001,"37,134",0.70,63.7,7
EEUU,2002,"37,998",0.70,62.7,6.9
EEUU,2003,"39,490",1.00,62.3,6.9
EEUU,2004,"41,725",1.00,62.3,6.8
EEUU,2005,"44,123",1.00,62.7,6.7
EEUU,2006,"46,302",1.00,63.1,6.7
EEUU,2007,"48,050",1.00,63,6.6
EEUU,2008,"48,570",1.00,62.2,6.5
EEUU,2009,"47,195",1.00,59.3,6.4
EEUU,2010,"48,651",1.00,58.5,6.2
EEUU,2011,"50,066",1.00,58.4,6.1
EEUU,2012,"51,784",1.00,58.6,6
EEUU,2013,"53,291",1.00,58.6,6
EEUU,2014,"55,124",1.20,,5.9
EEUU,2015,"56,763",1.20,,5.8
EEUU,2016,"57,867",1.00,,5.7
EEUU,2017,"59,908",1.20,,5.7
EEUU,2018,"62,823",1.00,,5.6
EEUU,2019,"65,120",1.00,,5.5
EEUU,2020,"63,529",0.20,,5.4
