Pais,Año,PIB per cápita (usd),Población debajo del umbral de pobreza internacional,Tasa de empleo,Mortalidad infantil por cada 1000 nacimientos,Tasa alfabetización mayores de 15,Promedio años de estudio personas economicamente activas mayores de 15
America latina y caribe,1990,"5,895",16.80,,43.70,84.4,
America latina y caribe,1991,"5,985",16.10,,41.90,85.0,
America latina y caribe,1992,"6,041",15.90,,40.10,85.6,
America latina y caribe,1993,"6,151",15.70,,38.30,86.2,
America latina y caribe,1994,"6,344",14.40,,36.50,86.8,
America latina y caribe,1995,"6,312",14.40,,34.80,87.4,
America latina y caribe,1996,"6,445",16.20,,33.20,87.7,
America latina y caribe,1997,"6,673",15.30,,31.60,88.0,
America latina y caribe,1998,"6,719",14.50,,30.30,88.5,
America latina y caribe,1999,"6,622",14.70,,28.70,88.8,
America latina y caribe,2000,"6,759",13.50,62.40,27.50,89.0,7.9
America latina y caribe,2001,"6,701",13.20,62.40,26.30,89.1,7.9
America latina y caribe,2002,"6,624",12.40,62.90,25.00,89.2,8.0
America latina y caribe,2003,"6,675",12.10,63.10,23.90,90.0,8.1
America latina y caribe,2004,"6,986",11.00,63.80,22.90,90.0,8.2
America latina y caribe,2005,"7,209",10.40,64.10,21.90,90.5,8.3
America latina y caribe,2006,"7,514",8.50,65.40,21.00,90.4,8.5
America latina y caribe,2007,"7,848",8.00,65.60,20.10,91.1,8.5
America latina y caribe,2008,"8,073",7.50,65.10,19.40,91.3,8.6
America latina y caribe,2009,"7,832",7.10,64.80,18.70,91.6,8.8
America latina y caribe,2010,"8,223",6.40,64.60,18.50,91.6,8.8
America latina y caribe,2011,"8,502",6.00,64.50,17.40,92.1,9.0
America latina y caribe,2012,"8,645",5.10,65.20,16.90,92.4,9.1
America latina y caribe,2013,"8,799",4.50,65.20,16.40,92.4,9.2
America latina y caribe,2014,"8,811",4.30,65.40,16.00,92.8,9.3
America latina y caribe,2015,"8,731",4.20,64.30,15.60,93.0,9.4
America latina y caribe,2016,"8,562",4.40,64.60,15.80,93.5,9.5
America latina y caribe,2017,"8,588",4.40,64.60,15.10,93.5,9.5
America latina y caribe,2018,"8,605",4.30,64.80,14.80,93.7,9.6
America latina y caribe,2019,"8,536",4.30,65.10,14.40,94.1,9.7
America latina y caribe,2020,"7,893",3.90,60.70,14.00,94.1,9.8
Antigua y Barbuda,1990,"12,117",,-17.91,11.30,,
Antigua y Barbuda,1991,"12,323",,3.51,11.50,,
Antigua y Barbuda,1992,"12,254",,6.28,11.80,,
Antigua y Barbuda,1993,"12,685",,7.38,12.10,,
Antigua y Barbuda,1994,"13,270",,7.68,12.40,,
Antigua y Barbuda,1995,"12,450",,7.75,12.80,,
Antigua y Barbuda,1996,"13,006",,6.87,12.80,,
Antigua y Barbuda,1997,"13,448",,6.95,12.90,,
Antigua y Barbuda,1998,"13,813",,6.43,13.00,,
Antigua y Barbuda,1999,"14,092",,5.30,12.80,,
Antigua y Barbuda,2000,"14,707",,3.61,12.50,,
Antigua y Barbuda,2001,"13,835",,1.95,12.20,98.9,
Antigua y Barbuda,2002,"13,796",,0.66,11.80,,
Antigua y Barbuda,2003,"14,466",,0.52,11.40,,
Antigua y Barbuda,2004,"15,145",,1.28,10.90,,
Antigua y Barbuda,2005,"15,924",,2.53,10.50,,
Antigua y Barbuda,2006,"17,726",,3.89,10.00,,
Antigua y Barbuda,2007,"19,117",,4.55,9.50,,
Antigua y Barbuda,2008,"18,816",,4.44,9.10,,
Antigua y Barbuda,2009,"16,330",,4.01,8.60,,
Antigua y Barbuda,2010,"14,839",,3.45,8.20,,
Antigua y Barbuda,2011,"14,380",,2.85,7.70,,
